Time Range,Vessel ID,Flag,Vessel Name,Entry Timestamp,Exit Timestamp,Gear Type,Vessel Type,MMSI,IMO,CallSign,First Transmission Date,Last Transmission Date,Vessel Presence Hours
"2024-07-07T00:00:00.000Z,2024-10-07T00:00:00.000Z",89a873fce-eaa2-ee60-1c08-6c254d67eb69,PAN,TBC PROGRESS,2024-08-04T12:00:00Z,2024-08-07T00:00:00Z,CARGO,CARGO,373605000,9489821,3FKB2,2012-09-12T07:38:36Z,2024-10-07T23:59:32Z,61.00
"2024-07-07T00:00:00.000Z,2024-10-07T00:00:00.000Z",724475b62-204c-4a3e-e271-a46247b012c7,LBR,STENA SURPRISE,2024-08-10T03:00:00Z,2024-08-11T23:00:00Z,OTHER,OTHER,636015304,9533995,A8ZU7,2012-05-25T17:13:03Z,2024-10-07T23:51:57Z,45.00
"2024-07-07T00:00:00.000Z,2024-10-07T00:00:00.000Z",7c9943893-304f-3e06-78db-efb44ac83e6f,LBR,TREASURE,2024-09-26T12:00:00Z,2024-09-28T00:00:00Z,CARGO,CARGO,636016742,9184859,D5HO2,2014-11-10T18:13:14Z,2024-10-07T23:58:05Z,37.00
"2024-07-07T00:00:00.000Z,2024-10-07T00:00:00.000Z",7d0d50963-3c71-0cfc-3e06-2fa0c3d31cc7,SGP,MORNING CLARA,2024-07-31T15:00:00Z,2024-08-01T09:00:00Z,CARGO,CARGO,564254000,9460887,9V7564,2012-01-05T18:06:43Z,2024-10-07T23:56:40Z,19.00
"2024-07-07T00:00:00.000Z,2024-10-07T00:00:00.000Z",5f1618fd2-22a0-18cb-b0b7-09329c96444b,PAN,CHALLENGE PINNACLE,2024-08-12T09:00:00Z,2024-08-13T22:00:00Z,CARGO,CARGO,371414000,9788588,HPAD,2018-09-02T23:04:50Z,2024-10-07T23:59:20Z,38.00
"2024-07-07T00:00:00.000Z,2024-10-07T00:00:00.000Z",182ba8be5-542c-a1d7-9726-3d2fc24ee38f,HKG,SEASPAN BRIGHTNESS,2024-08-31T13:00:00Z,2024-08-31T21:00:00Z,CARGO,CARGO,477518600,9685346,VRNL9,2014-09-20T03:54:54Z,2024-10-07T23:58:44Z,9.00
"2024-07-07T00:00:00.000Z,2024-10-07T00:00:00.000Z",d76a18140-010e-8b03-70d4-9daff02edee8,PAN,NORD TOPAZ,2024-07-07T09:00:00Z,2024-07-08T06:00:00Z,CARGO,CARGO,352003844,9992268,3E6093,2024-04-25T04:40:04Z,2024-10-07T23:58:28Z,22.00
"2024-07-07T00:00:00.000Z,2024-10-07T00:00:00.000Z",4571cc238-83d3-0e27-9d52-5cc0133c87c4,PAN,ESTEEM HOUSTON,2024-09-14T20:00:00Z,2024-09-15T16:00:00Z,OTHER,OTHER,357492000,9882334,3FAW9,2020-05-10T23:55:25Z,2024-10-07T23:58:18Z,21.00
"2024-07-07T00:00:00.000Z,2024-10-07T00:00:00.000Z",5ea631df9-9c2b-12fc-b4a6-c3b89d3a8ca1,DEU,RIODEJANEIRO EXPRESS,2024-07-18T11:00:00Z,2024-07-19T18:00:00Z,OTHER,OTHER,211111000,9508902,DGXS2,2022-07-28T01:27:00Z,2024-10-07T23:57:36Z,32.00
"2024-07-07T00:00:00.000Z,2024-10-07T00:00:00.000Z",50dda8602-2513-2b25-ae16-077545171b21,PAN,UNIVERSAL GLORIA,2024-09-13T06:00:00Z,2024-09-14T19:00:00Z,CARGO,CARGO,356844000,9286877,HPYT,2012-01-15T00:18:57Z,2024-10-07T23:58:20Z,38.00
"2024-07-07T00:00:00.000Z,2024-10-07T00:00:00.000Z",829ba4c2d-d223-a672-0939-e7f0b67b707b,DEU,MONTEVIDEO EXPRESS,2024-09-05T22:00:00Z,2024-09-06T11:00:00Z,CARGO,CARGO,211112000,9520041,DIIC2,2022-11-29T02:11:20Z,2024-10-07T23:59:45Z,14.00
"2024-07-07T00:00:00.000Z,2024-10-07T00:00:00.000Z",a8a1df4ae-e3e5-23e5-3a79-bdb17cafa4b4,TWN,EVER LUNAR,2024-07-08T01:00:00Z,2024-07-08T14:00:00Z,CARGO,CARGO,416497000,9629093,BKKF,2014-11-25T06:39:54Z,2024-10-07T23:59:17Z,14.00
"2024-07-07T00:00:00.000Z,2024-10-07T00:00:00.000Z",8f321bce8-84e7-e165-745c-d6a8cac20113,MHL,BUENAVENTURA EXPRESS,2024-07-22T13:00:00Z,2024-07-23T21:00:00Z,CARGO,CARGO,538009764,9932488,V7A5135,2023-05-17T03:07:37Z,2024-10-07T23:52:47Z,33.00
